name,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
8743.exe,1,1,0,0,3.599160017712821,7.919221014653404,332,4,1340619487,0,0,224,271
8744.exe,1,0,0,0,1.5352374043126935,6.414933007077415,332,4,1285905558,0,0,224,258
8745.exe,1,1,0,0,2.660423162189934,7.9880037965806086,332,4,1319571264,0,0,224,271
8746.exe,1,1,0,0,2.9055112632071567,7.892746592773841,332,4,1300517907,0,0,224,258
8747.exe,1,0,2,0,0.1310141095465883,6.6819864129976025,332,7,1307627187,0,0,224,258
8748.exe,1,1,0,0,3.978445426739278,7.8465868694745815,332,4,1335555348,0,0,224,271
8749.exe,1,0,0,0,0.39368901080424135,6.490118111511696,332,5,1482234866,0,0,224,258
8750.exe,1,1,3,3,5.128667706825739,7.723579071996353,332,6,1357813888,0,0,224,259
8751.exe,1,1,0,0,4.902190574568306,7.9847026133289525,332,4,1342594396,0,0,224,271
8752.exe,1,1,0,0,3.8067363487314534,7.767058192858112,332,4,1332576541,0,0,224,271
8753.exe,1,0,4,1,0.19743807838821048,5.917941869929001,34404,11,131072,30720,136,240,39
8754.exe,1,0,0,0,0.07763316234324169,4.915799215862775,332,3,1343341700,0,0,224,258
8755.exe,1,1,0,1,4.030998883044893,7.925474515683786,332,4,0,0,0,224,271
8756.exe,1,0,3,1,0.2044881574398449,6.2973185190830625,34404,9,0,0,0,240,559
8757.exe,1,1,0,0,1.649580278538447,7.636386842712647,332,4,1333049654,0,0,224,271
8758.exe,1,0,2,2,0.11890197597050207,7.0711595457129395,332,5,1342740012,0,0,224,270
8759.exe,1,0,0,0,4.354099481676216,6.829537294623687,332,4,1334007663,0,0,224,270
8760.exe,1,0,0,0,0.4023792985675851,6.682401853691662,332,4,1319571264,0,0,224,271
8761.exe,1,1,0,0,3.770000384660344,7.765213243705903,332,4,1332675903,0,0,224,271
8762.exe,1,0,0,0,0.020393135236084953,6.831076696266261,332,4,1297997552,0,0,224,258
8763.exe,1,1,0,0,3.901183479538658,7.736227428090126,332,4,1344673277,0,0,224,271
8764.exe,1,0,5,5,0.416541661794913,6.045735691824832,332,8,1342150883,0,0,224,270
8765.exe,1,1,4,3,2.0580048630029575,7.7215466123544445,332,8,1332922852,0,0,224,270
8766.exe,1,0,0,0,0.1833387916558982,7.279788336118544,332,5,1436499019,0,0,224,258
8767.exe,1,1,0,0,7.999602309706851,7.999602309706851,332,1,0,0,0,224,258
8768.exe,1,1,1,0,0.2677012914058982,7.9875030460182925,332,6,1213802347,0,0,224,258
8769.exe,1,1,0,0,3.5482123920201007,7.876206897802819,332,4,1299454751,0,0,224,258
8770.exe,1,1,0,0,3.9187603444757952,7.736311004526726,332,4,1344630696,0,0,224,271
8771.exe,1,1,0,0,2.230331151279923,7.869128968359267,332,4,1334434652,0,0,224,271
8772.exe,1,0,0,0,0.08153941234324169,5.530955172207869,332,3,1343348777,0,0,224,258
8773.exe,1,0,4,0,0.16032872589902852,7.078400128156102,332,8,1334902853,0,0,224,270
8774.exe,1,1,0,0,3.967248013389364,7.825872303189604,332,4,1336033167,0,0,224,271
8775.exe,1,1,0,0,4.439167892672415,7.815863015613966,332,4,1341382817,0,0,224,271
8776.exe,1,1,0,0,4.258259086178153,7.881071781818385,332,4,1335342692,0,0,224,271
8777.exe,1,0,0,0,2.609819023960272,6.621239680430375,332,5,1327340401,0,0,224,8450
8778.exe,1,0,1,2,4.104195056485057,6.372589016809032,332,5,103166,0,0,224,783
8779.exe,1,0,5,0,0.16032872589902852,7.080724606544871,332,9,1335070893,0,0,224,270
8780.exe,1,1,0,0,4.982860308686197,7.975373511733246,332,4,1342295985,0,0,224,271
8781.exe,1,1,0,0,0.08952421866257136,7.618957727733534,332,4,1305462840,0,0,224,271
8782.exe,1,0,5,5,0.12943919267108936,6.049998846808332,332,8,1342339219,0,0,224,270
8783.exe,1,0,0,0,2.6004399557204234,6.66584857489941,332,5,1332476872,0,0,224,8450
8784.exe,1,0,4,0,0.16032872589902852,7.077855639893746,332,8,1334917453,0,0,224,270
8785.exe,1,1,0,0,6.37788358968373,7.82232370517326,332,4,1343473788,0,0,224,271
8786.exe,1,0,4,0,0.16032872589902852,7.080859784384082,332,8,1334869210,0,0,224,270
8787.exe,1,1,0,0,6.016874314547565,7.914777066377247,332,4,1345535551,0,0,224,271
8788.exe,1,1,0,0,6.2163773115844805,7.682407355200896,332,3,1297911846,0,0,224,258
8789.exe,1,1,0,0,2.006387977875609,7.756189963228505,332,5,1332918030,0,0,224,270
8790.exe,1,1,0,0,2.076710866356221,7.528124170972359,332,4,1332543612,0,0,224,270
8791.exe,1,0,0,0,0.41644573043250227,7.106051899529958,332,4,1319571264,0,0,224,271
8792.exe,1,1,4,4,4.244175753988929,7.6703434468103175,332,8,1333086041,0,0,224,270
8793.exe,1,0,4,2,0.2069200177871819,7.18143328318008,332,8,708992537,0,0,224,33166
8794.exe,1,1,0,0,3.7924610848925315,7.731738824242715,332,4,1344542973,0,0,224,271
8795.exe,1,1,0,0,2.001882196725609,7.975596522388566,332,4,1342186658,0,0,224,271
