name,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
1978,1,1,0,0,0,0,0,0,720896,225280,0,727326,4194304,4,16,958464,8192,4096,1,0,0,0.016408464515625623,7.99691159596958,3,1424889509,0,0,224,258,0,0
1979,1,3,0,1,0,0,1,0,3072,111104,0,4296,4194304,4,16,126976,4096,512,1,0,1,4.272502477609658,7.785373784933927,4,0,0,0,224,271,0,0
1980,1,8,1,1,0,0,1,0,37376,17408,0,39508,4194304,4,16,81920,4096,512,0,4,3,0.2044881574398449,6.5647212410937765,8,708992537,0,0,224,33167,0,0
1981,1,6,0,1,0,0,1,1,28672,446464,262144,6976,4259840,4,16,995328,4096,4096,1,0,0,4.206686935448474,7.8442557386517455,4,1335379208,0,0,224,271,0,0
1982,1,6,1,1,0,1,1,0,15360,5632,0,18358,4194304,5,16,32768,4096,512,0,0,0,1.5196124043126935,6.414933007077415,4,1285905558,0,0,224,258,1,1
1983,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.080536393436371,9,1334958489,0,0,224,270,0,301
1984,1,4,1,0,0,0,1,0,86016,253503,520192,4096,4194304,4,16,880640,4096,4096,1,0,0,3.2656238352314677,7.952426245136654,4,1331883103,0,0,224,271,0,0
1985,1,3,1,0,0,0,1,0,94208,237306,499712,92382,4194304,4,16,847872,4096,4096,1,0,0,0.6417950218118956,7.9930332128389425,4,1331754463,0,0,224,271,0,0
1986,1,3,0,1,0,0,1,0,36864,389120,0,5664,4194304,4,16,823296,4096,4096,1,0,0,0.7102569556285515,7.903765818529334,4,1343891857,0,0,224,271,0,0
1987,1,11,0,0,0,0,1,0,17920,38912,3072,5328,4194304,5,16,77824,4096,512,0,4,1,0.19743807838821048,5.974076666859588,11,22583328,40448,180,240,39,0,0
1988,1,7,1,1,0,0,1,0,81408,377344,0,40352,5368709120,5,16,466944,4096,512,0,0,0,1.9543524501468919,5.577952685363977,5,1464997109,0,0,240,34,0,0
1989,1,2,0,0,0,0,0,0,60928,370688,0,426558,65536,5,16,433152,512,512,1,1,0,0.26605214894931534,7.989170361484378,6,1213897396,0,0,224,258,0,76
1990,1,11,1,1,0,0,1,0,39424,97280,0,20799,4194304,5,16,159744,4096,512,1,0,0,5.035095770850417,7.977096188292199,4,1343811892,0,0,224,258,0,149
1991,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5176572205994974,6.643736200190922,5,1333757781,0,0,224,8450,0,0
1992,1,4,0,1,0,0,1,0,36864,413696,0,5600,4194304,4,16,823296,4096,4096,1,0,0,5.947356714099302,7.766790258434559,4,1344518840,0,0,224,271,0,0
1993,1,0,0,0,0,0,0,0,231936,0,0,208546,4194304,4,16,237568,4096,512,1,0,0,7.692428952078885,7.692428952078885,1,123,0,0,224,271,0,0
1994,1,1,0,0,0,0,0,0,3584,2560,0,11294,4194304,6,16,32768,8192,512,0,0,0,0.07763316234324169,5.0285750170215495,3,1343348682,0,0,224,258,0,0
1995,1,4,0,1,0,0,1,0,28672,393216,217088,6523,4259840,4,16,987136,4096,4096,1,0,0,3.982417446495472,7.839557247492908,4,1335608472,0,0,224,271,0,0
1996,1,21,1,0,0,0,1,0,20480,20992,0,22240,5368709120,10,16,57344,4096,512,0,0,0,2.1769085623052082,6.059834047690235,6,1436498312,0,0,240,34,0,0
1997,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.080751681258633,9,1335145226,0,0,224,270,0,301
1998,1,4,1,1,0,0,1,0,92160,2048,0,4720,4194304,4,16,106496,4096,512,1,0,0,2.093858639482634,7.6180377452146315,3,1333479674,0,0,224,270,0,2
1999,1,2,0,1,0,0,1,0,12288,389120,0,5560,4194304,4,16,823296,4096,4096,1,0,0,3.4686979082356233,7.921441541446286,4,1343301636,0,0,224,271,0,0
2000,1,2,0,0,0,0,0,0,60928,401920,0,457790,65536,5,16,464384,512,512,1,1,0,0.21187078590960143,7.990590990837624,6,1216620449,0,0,224,258,0,79
2001,1,3,1,1,0,0,1,0,145408,16896,0,5360,4194304,4,16,188416,4096,512,0,5,5,0.416541661794913,6.0489233112592995,8,1342130479,0,0,224,270,0,0
2002,1,5,0,1,0,0,1,0,47104,0,0,39643,4194304,5,16,307200,4096,512,1,1,1,7.477286513944261,7.82366040584499,3,1297643496,0,0,224,258,0,95
