name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
4994,0,1,1,1,0,1.8631342934142685,7.7133391688760815,332,5,1331711406,0,0,224,270
4752,0,1,0,5,5,0.12943919267108936,6.049998169611415,332,8,1342335655,0,0,224,270
2846,0,1,1,1,0,0.26742112070119883,7.987284827294067,332,6,1209743878,0,0,224,258
3165,0,1,0,5,5,0.12943919267108936,6.050422107574999,332,8,1342212076,0,0,224,270
965,0,1,0,0,0,0.020393135236084953,7.026668816433461,332,4,1305597539,0,0,224,258
6340,1,1,0,0,0,2.131835040716199,6.134955929852052,34404,6,1436498697,0,0,240,34
2410,0,1,1,1,0,2.63758419116443,7.773010753378716,332,4,1330803002,0,0,224,258
3062,0,1,1,1,1,7.472960579037672,7.757683355428827,332,3,1297643496,0,0,224,258
3129,0,1,1,0,0,0.020393135236084953,7.870171536838232,332,4,1297433515,0,0,224,258
6748,0,1,1,0,0,1.1369952838140192,7.968931386670276,332,4,1331844927,0,0,224,271
3798,0,1,1,0,0,3.1702038881216588,7.9405300628520505,332,4,1334652129,0,0,224,271
4180,0,1,1,1,0,0.2101427329556487,7.989950177243781,332,6,1217644885,0,0,224,258
5472,0,1,1,0,0,1.7652645776277656,7.713534394862878,332,4,1334125787,0,0,224,271
2155,0,1,1,0,0,3.4391017440422464,7.921380584451487,332,4,1343141119,0,0,224,271
2679,0,1,0,0,0,0.40554835374125364,6.68634444342515,332,4,1319571264,0,0,224,271
6087,0,1,1,2,0,0.37387747993819864,7.8802827542285465,332,6,1307674046,0,0,224,258
4103,0,1,1,0,0,3.795578673825424,7.731380021788361,332,4,1344581633,0,0,224,271
2673,0,1,1,0,0,3.967248013389364,7.824448733362354,332,4,1336033167,0,0,224,271
4483,0,1,1,0,0,0.020393135236084953,7.934685412421015,332,4,1293164847,0,0,224,258
1587,0,1,0,0,0,0.013126943721219527,6.666073122845747,332,5,1332476108,0,0,224,8450
3614,0,1,0,0,0,3.6637491471389407,6.657614724637083,332,4,291826974,0,0,224,815
5426,0,1,0,0,0,0.40554835374125364,6.636016210302768,332,4,1319571264,0,0,224,271
274,0,1,0,0,1,1.5186367620660084,6.6443635434325525,332,5,1333758254,0,0,224,8450
6267,1,1,0,1,0,0.41389007474477,6.576938456806234,332,6,1482201869,0,0,224,258
719,0,1,1,0,0,4.983520752209943,7.97646210353338,332,4,1342983738,0,0,224,271
5697,0,1,1,0,1,4.072431871003135,7.921907086496386,332,4,0,0,0,224,271
5754,0,1,1,0,0,4.983520752209943,7.976501873099892,332,4,1342983738,0,0,224,271
4026,0,1,1,1,0,0.26693283945119883,7.989049557017724,332,6,1209742467,0,0,224,258
4998,0,1,0,5,5,0.12943919267108936,6.045168065956968,332,8,1342332018,0,0,224,270
4904,0,1,1,0,0,2.1357908673223736,7.8703190411876545,332,4,1331321630,0,0,224,271
4197,0,1,1,0,0,2.230331151279923,7.869128968359267,332,4,1334434652,0,0,224,271
2051,0,1,0,4,0,0.16032872589902852,7.079936432879391,332,8,1334846442,0,0,224,270
4611,0,1,1,0,0,3.4617692612774507,7.921345130496248,332,4,1343301636,0,0,224,271
6229,0,1,1,0,0,6.574952675357058,7.690680186117563,332,4,1333436105,0,0,224,271
361,0,1,1,0,0,3.4578148390900814,7.921800790598271,332,4,1343301636,0,0,224,271
6047,0,1,1,0,1,4.3033343655804455,7.784264629217113,332,4,0,0,0,224,271
3007,0,1,0,3,3,2.617643850195868,7.282778538808781,332,7,1337956893,0,0,224,270
6985,0,1,1,0,0,3.677603049853417,7.918356977374045,332,3,1385378760,0,0,224,2
2262,0,1,1,0,0,4.9738560096547,7.976183233358964,332,4,1342376926,0,0,224,271
5967,0,1,1,0,0,3.154798280733293,7.941052105927359,332,4,1334652129,0,0,224,271
5147,0,1,1,0,1,4.043310762323936,7.906916857678697,332,4,1326871294,0,0,224,271
2897,0,1,0,3,0,0.16032872589902852,6.577531292697757,332,7,1334683514,0,0,224,270
5949,0,1,1,0,0,0.7090859201042203,7.90438736333957,332,4,1343849227,0,0,224,271
5964,0,1,1,3,2,1.9360022337135043,7.721650974074373,332,7,1332796854,0,0,224,270
4472,0,1,0,0,0,4.313502573399983,6.91424719466754,332,5,1303513580,0,0,224,259
6085,0,1,0,0,0,3.4150525632654696,7.953925742779597,332,5,1213800278,0,0,224,8450
2519,0,1,1,0,0,3.770000384660344,7.768030872976054,332,4,1332675903,0,0,224,271
2087,0,1,1,0,0,0.020393135236084953,7.935709229107342,332,4,1293164847,0,0,224,258
6346,0,1,1,3,1,4.164608791209801,7.980779434491256,332,9,1199997096,0,0,224,271
4083,0,1,1,1,0,2.6685940484761215,7.770702714646875,332,4,1330803002,0,0,224,258
260,0,1,1,0,0,0.08952421866257136,7.6191238491831745,332,4,1305462840,0,0,224,271
6860,0,1,0,0,0,2.6058640429280744,6.6434410073850465,332,5,1333760698,0,0,224,8450
730,0,1,0,0,0,2.6063360413071415,6.643661752884318,332,5,1333985852,0,0,224,8450
3822,0,1,1,0,0,6.627602601144301,7.875117934687768,332,4,1333619166,0,0,224,271
6302,0,1,1,0,0,4.074325254803732,7.7749986513796365,332,4,1332407685,0,0,224,271
90,0,1,1,0,0,1.1369952838140192,7.968513306791453,332,4,1331844927,0,0,224,271
2898,0,1,1,0,0,5.948320058549631,7.765888408599987,332,4,1344502417,0,0,224,271
3918,0,1,1,0,0,2.134028347559465,7.870759154532916,332,4,1331321630,0,0,224,271
6410,0,1,0,1,0,5.937870231249831,6.851160776679696,332,5,1307308631,0,0,224,258
6513,0,1,0,4,0,0.16032872589902852,7.079924937409451,332,8,1334890913,0,0,224,270
805,0,1,1,1,0,0.2676054194077817,7.989468652044306,332,6,1209743530,0,0,224,258
3163,0,1,1,0,0,5.963802292832967,7.920579304994925,332,4,1343629823,0,0,224,271
4163,0,1,1,1,0,0.2667241595263274,7.989049072595841,332,6,1209742467,0,0,224,258
3275,0,1,0,4,0,0.16032872589902852,7.077594067511867,332,8,1334821690,0,0,224,270
4920,0,1,0,1,0,1.4962965553968912,7.1262247045413964,332,5,1335182441,0,0,224,270
3775,0,1,1,0,0,0.08952421866257136,7.618843893970346,332,4,1305462840,0,0,224,271
5758,0,1,0,0,1,1.5189690889360068,6.674702571784401,332,5,1334932159,0,0,224,8450
2850,0,1,1,0,0,0.06784557522715084,7.943880113510721,332,4,1300731694,0,0,224,271
3528,0,1,1,0,1,4.295048571480515,7.785390280545105,332,4,0,0,0,224,271
4533,0,1,0,0,0,1.6649936702546246,7.139049634734746,332,4,1335510137,0,0,224,270
2238,0,1,0,0,1,1.5192165102937865,6.6443635434325525,332,5,1333758254,0,0,224,8450
1548,0,1,1,0,0,4.015866797434177,7.729552567074389,332,4,1344714209,0,0,224,271
1820,0,1,0,0,0,2.604134379144955,6.6439017700302205,332,5,1333761802,0,0,224,8450
4293,0,1,1,0,0,6.194156363184179,7.846436341580878,332,3,1303612651,0,0,224,258
5811,0,1,1,0,0,4.139347676949244,7.876192154496133,332,4,1332274738,0,0,224,271
6751,1,1,0,0,0,0.1833387916558982,5.9876060800445,332,5,1436498731,0,0,224,258
6516,1,1,0,0,0,3.41251581353895,6.282475612461131,34404,5,1310437039,0,0,240,35
6547,0,1,0,4,0,0.16032872589902852,7.077603084046836,332,8,1334834650,0,0,224,270
6533,1,1,0,1,0,0.1833387916558982,6.673696075988411,332,6,1436498736,0,0,224,258
4149,0,1,0,5,5,0.12943919267108936,6.050372537552102,332,8,1342217966,0,0,224,270
4846,0,1,0,1,0,0.020393135236084953,6.847270346411736,332,5,1306719986,0,0,224,258
6015,0,1,1,6,6,4.244869834675866,7.516341318837298,332,10,1333272026,0,0,224,270
4371,0,1,0,0,1,1.5172869461766871,6.644070165747287,332,5,1333985043,0,0,224,8450
6088,0,1,0,5,5,0.4255926339982148,6.051122414923617,332,8,1342030797,0,0,224,270
4780,0,1,1,0,0,4.371092418538864,7.703535474526958,332,4,1334265920,0,0,224,270
